"B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M","GEO_ID","NAME"
"972","251","955","247","871","213","0","12","0","12","0","12","7","12","0","12","77","133","0","12","77","133","17","27","17","27","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351130101","Block Group 1, Census Tract 1130.10, Salt Lake County, Utah"
"2800","782","2426","602","2211","638","0","12","0","12","215","147","0","12","0","12","0","12","0","12","0","12","374","460","56","74","0","12","318","449","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351130102","Block Group 2, Census Tract 1130.10, Salt Lake County, Utah"
"817","283","780","277","744","263","0","12","0","12","22","35","0","12","0","12","14","23","0","12","14","23","37","44","15","25","0","12","22","36","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351130103","Block Group 3, Census Tract 1130.10, Salt Lake County, Utah"
"1017","287","1005","287","899","310","0","12","0","12","60","53","0","12","0","12","46","56","0","12","46","56","12","20","12","20","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351130104","Block Group 4, Census Tract 1130.10, Salt Lake County, Utah"
"1430","433","1418","432","1359","386","0","12","0","12","44","68","0","12","0","12","15","25","0","12","15","25","12","22","12","22","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351130105","Block Group 5, Census Tract 1130.10, Salt Lake County, Utah"
"2329","449","2254","434","2063","417","18","29","30","43","38","49","0","12","0","12","105","89","27","41","78","78","75","70","20","31","0","12","0","12","0","12","0","12","0","12","55","63","55","63","0","12","1500000US490351130111","Block Group 1, Census Tract 1130.11, Salt Lake County, Utah"
"1502","364","1482","362","1354","362","0","12","0","12","104","71","16","26","0","12","8","13","0","12","8","13","20","25","20","25","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351130112","Block Group 2, Census Tract 1130.11, Salt Lake County, Utah"
"2034","260","1911","249","1904","249","0","12","0","12","0","12","0","12","0","12","7","12","0","12","7","12","123","104","61","66","0","12","0","12","0","12","0","12","62","71","0","12","0","12","0","12","1500000US490351130113","Block Group 3, Census Tract 1130.11, Salt Lake County, Utah"
"843","289","660","266","547","229","60","70","0","12","25","42","0","12","0","12","28","45","0","12","28","45","183","140","113","105","0","12","0","12","0","12","0","12","70","109","0","12","0","12","0","12","1500000US490351130121","Block Group 1, Census Tract 1130.12, Salt Lake County, Utah"
"1331","416","1331","416","1079","345","0","12","0","12","28","42","15","25","0","12","209","235","0","12","209","235","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351130122","Block Group 2, Census Tract 1130.12, Salt Lake County, Utah"
"2000","508","1992","508","1917","521","15","23","0","12","42","54","0","12","0","12","18","27","10","15","8","12","8","12","8","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351130123","Block Group 3, Census Tract 1130.12, Salt Lake County, Utah"
"2214","380","2107","369","1912","336","37","41","0","12","142","163","0","12","0","12","16","25","0","12","16","25","107","130","30","35","0","12","0","12","0","12","0","12","77","125","0","12","0","12","0","12","1500000US490351130124","Block Group 4, Census Tract 1130.12, Salt Lake County, Utah"
"2737","488","2725","492","2501","490","0","12","85","133","70","105","0","12","0","12","69","102","0","12","69","102","12","20","12","20","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351130131","Block Group 1, Census Tract 1130.13, Salt Lake County, Utah"
"736","320","728","318","728","318","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8","14","8","14","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351130132","Block Group 2, Census Tract 1130.13, Salt Lake County, Utah"
"1736","335","1725","340","1349","302","10","15","0","12","182","232","0","12","0","12","184","151","0","12","184","151","11","17","11","17","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351130133","Block Group 3, Census Tract 1130.13, Salt Lake County, Utah"
"2139","515","1941","488","1761","471","8","14","12","26","139","151","0","12","0","12","21","29","0","12","21","29","198","182","91","103","0","12","79","111","0","12","0","12","28","43","0","12","0","12","0","12","1500000US490351130141","Block Group 1, Census Tract 1130.14, Salt Lake County, Utah"
"3057","697","2955","706","2841","723","0","12","0","12","51","76","0","12","0","12","63","77","0","12","63","77","102","86","94","85","0","12","0","12","0","12","0","12","8","13","0","12","0","12","0","12","1500000US490351130142","Block Group 2, Census Tract 1130.14, Salt Lake County, Utah"
"2662","551","2287","482","2243","471","11","18","24","37","0","12","0","12","0","12","9","16","0","12","9","16","375","236","347","224","0","12","0","12","0","12","0","12","28","35","0","12","0","12","0","12","1500000US490351130161","Block Group 1, Census Tract 1130.16, Salt Lake County, Utah"
"1912","602","1638","480","1341","336","12","19","199","213","86","98","0","12","0","12","0","12","0","12","0","12","274","198","140","139","0","12","82","122","0","12","0","12","0","12","52","86","52","86","0","12","1500000US490351130162","Block Group 2, Census Tract 1130.16, Salt Lake County, Utah"
"2793","470","2762","469","2620","435","15","23","0","12","47","46","0","12","0","12","80","116","0","12","80","116","31","30","17","20","0","12","0","12","0","12","0","12","0","12","14","23","0","12","14","23","1500000US490351130163","Block Group 3, Census Tract 1130.16, Salt Lake County, Utah"
"919","258","911","258","911","258","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8","14","8","14","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351130171","Block Group 1, Census Tract 1130.17, Salt Lake County, Utah"
"1758","459","1683","458","1683","458","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","75","88","0","12","0","12","0","12","0","12","0","12","75","88","0","12","0","12","0","12","1500000US490351130172","Block Group 2, Census Tract 1130.17, Salt Lake County, Utah"
"2195","597","2132","603","2114","603","0","12","10","15","0","12","0","12","0","12","8","13","0","12","8","13","63","66","52","59","0","12","0","12","11","17","0","12","0","12","0","12","0","12","0","12","1500000US490351130173","Block Group 3, Census Tract 1130.17, Salt Lake County, Utah"
"2293","674","1458","311","1368","296","0","12","0","12","14","23","0","12","0","12","76","74","0","12","76","74","835","705","28","32","0","12","0","12","0","12","0","12","313","462","494","532","494","532","0","12","1500000US490351130174","Block Group 4, Census Tract 1130.17, Salt Lake County, Utah"
"2186","733","2006","728","1887","686","0","12","0","12","0","12","0","12","0","12","119","123","53","87","66","87","180","180","53","94","0","12","0","12","0","12","0","12","127","168","0","12","0","12","0","12","1500000US490351130211","Block Group 1, Census Tract 1130.21, Salt Lake County, Utah"
"3422","802","3284","810","2848","868","0","12","0","12","299","258","0","12","21","38","116","62","0","12","116","62","138","142","138","142","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351130212","Block Group 2, Census Tract 1130.21, Salt Lake County, Utah"
"1375","436","1290","413","1279","414","0","12","0","12","0","12","0","12","0","12","11","22","0","12","11","22","85","70","39","60","0","12","0","12","0","12","0","12","0","12","46","47","30","50","16","29","1500000US490351130221","Block Group 1, Census Tract 1130.22, Salt Lake County, Utah"
"2527","596","2359","589","2359","589","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","168","133","168","133","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351130222","Block Group 2, Census Tract 1130.22, Salt Lake County, Utah"
"3552","954","3243","920","3040","907","0","12","0","12","62","87","0","12","131","32","10","17","0","12","10","17","309","127","162","113","0","12","0","12","0","12","0","12","133","33","14","28","14","28","0","12","1500000US490351130223","Block Group 3, Census Tract 1130.22, Salt Lake County, Utah"
"2092","597","1695","602","1193","353","0","12","0","12","468","523","0","12","0","12","34","57","0","12","34","57","397","374","0","12","0","12","0","12","0","12","0","12","397","374","0","12","0","12","0","12","1500000US490351130231","Block Group 1, Census Tract 1130.23, Salt Lake County, Utah"
"1631","488","1547","486","1447","500","0","12","0","12","100","162","0","12","0","12","0","12","0","12","0","12","84","112","69","110","0","12","0","12","0","12","0","12","0","12","15","28","15","28","0","12","1500000US490351130232","Block Group 2, Census Tract 1130.23, Salt Lake County, Utah"
"3770","1260","3113","1284","2765","1184","49","59","0","12","0","12","159","239","0","12","140","163","0","12","140","163","657","733","228","367","0","12","0","12","0","12","0","12","429","629","0","12","0","12","0","12","1500000US490351130233","Block Group 3, Census Tract 1130.23, Salt Lake County, Utah"
"1489","429","1454","438","1324","433","0","12","0","12","130","169","0","12","0","12","0","12","0","12","0","12","35","63","26","47","0","12","0","12","0","12","0","12","0","12","9","16","0","12","9","16","1500000US490351130241","Block Group 1, Census Tract 1130.24, Salt Lake County, Utah"
"3152","739","2972","680","2755","626","0","12","0","12","48","57","0","12","122","191","47","76","0","12","47","76","180","143","116","103","0","12","0","12","0","12","0","12","0","12","64","100","64","100","0","12","1500000US490351130242","Block Group 2, Census Tract 1130.24, Salt Lake County, Utah"
"2316","499","2057","532","1679","508","24","39","0","12","297","171","0","12","0","12","57","67","0","12","57","67","259","273","205","278","0","12","0","12","0","12","0","12","15","24","39","63","39","63","0","12","1500000US490351130251","Block Group 1, Census Tract 1130.25, Salt Lake County, Utah"
"2856","603","2514","555","2385","577","0","12","0","12","113","102","0","12","16","26","0","12","0","12","0","12","342","331","128","105","0","12","0","12","12","20","0","12","0","12","202","301","15","24","187","302","1500000US490351130252","Block Group 2, Census Tract 1130.25, Salt Lake County, Utah"
"1346","468","1026","311","948","316","0","12","0","12","78","85","0","12","0","12","0","12","0","12","0","12","320","363","140","211","0","12","0","12","0","12","0","12","180","286","0","12","0","12","0","12","1500000US490351131011","Block Group 1, Census Tract 1131.01, Salt Lake County, Utah"
"1462","337","1207","318","1032","288","0","12","0","12","157","139","0","12","0","12","18","33","0","12","18","33","255","215","88","99","0","12","0","12","0","12","0","12","119","189","48","79","48","79","0","12","1500000US490351131012","Block Group 2, Census Tract 1131.01, Salt Lake County, Utah"
"2780","768","2061","719","1790","693","40","62","15","23","19","21","0","12","0","12","197","169","0","12","197","169","719","295","420","254","0","12","0","12","0","12","0","12","299","250","0","12","0","12","0","12","1500000US490351131013","Block Group 3, Census Tract 1131.01, Salt Lake County, Utah"
"1827","489","1549","363","1409","334","40","69","0","12","70","95","0","12","30","47","0","12","0","12","0","12","278","396","23","37","0","12","0","12","0","12","0","12","9","13","246","395","246","395","0","12","1500000US490351131014","Block Group 4, Census Tract 1131.01, Salt Lake County, Utah"
"2393","490","2042","435","1934","445","0","12","0","12","108","159","0","12","0","12","0","12","0","12","0","12","351","231","105","47","0","12","0","12","0","12","0","12","134","179","112","124","112","124","0","12","1500000US490351131021","Block Group 1, Census Tract 1131.02, Salt Lake County, Utah"
"1466","312","1318","314","1287","314","9","20","0","12","12","19","0","12","0","12","10","21","0","12","10","21","148","169","14","26","0","12","0","12","0","12","0","12","111","164","23","36","23","36","0","12","1500000US490351131022","Block Group 2, Census Tract 1131.02, Salt Lake County, Utah"
"839","248","691","209","634","207","0","12","6","8","1","2","12","19","0","12","38","58","21","33","17","25","148","98","102","102","0","12","6","11","0","12","16","26","23","35","1","2","1","2","0","12","1500000US490351131051","Block Group 1, Census Tract 1131.05, Salt Lake County, Utah"
"4136","1030","3977","1042","3695","1027","0","12","0","12","0","12","26","35","0","12","256","207","19","30","237","204","159","110","94","69","0","12","0","12","0","12","0","12","47","63","18","27","18","27","0","12","1500000US490351131052","Block Group 2, Census Tract 1131.05, Salt Lake County, Utah"
"1412","624","1412","624","1390","626","0","12","0","12","11","20","0","12","0","12","11","16","0","12","11","16","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351131053","Block Group 3, Census Tract 1131.05, Salt Lake County, Utah"
"2679","431","2449","434","2192","397","2","4","0","12","1","2","60","90","0","12","194","198","7","11","187","198","230","166","61","48","0","12","0","12","0","12","0","12","106","141","63","64","20","30","43","56","1500000US490351131081","Block Group 1, Census Tract 1131.08, Salt Lake County, Utah"
"2022","521","1968","514","1358","278","0","12","201","289","206","299","194","262","0","12","9","14","0","12","9","14","54","83","0","12","0","12","0","12","0","12","0","12","54","83","0","12","0","12","0","12","1500000US490351131082","Block Group 2, Census Tract 1131.08, Salt Lake County, Utah"
"2067","812","1568","988","1393","935","69","84","0","12","0","12","0","12","0","12","106","161","0","12","106","161","499","752","499","752","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351131091","Block Group 1, Census Tract 1131.09, Salt Lake County, Utah"
"1441","766","1441","766","1441","766","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351131092","Block Group 2, Census Tract 1131.09, Salt Lake County, Utah"
"1701","1317","1701","1317","1584","1263","0","12","0","12","0","12","0","12","0","12","117","149","0","12","117","149","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351131093","Block Group 3, Census Tract 1131.09, Salt Lake County, Utah"
"2866","1274","2374","1270","2155","1119","0","12","0","12","0","12","0","12","219","327","0","12","0","12","0","12","492","738","492","738","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351131101","Block Group 1, Census Tract 1131.10, Salt Lake County, Utah"
"2919","655","2373","646","2245","644","0","12","0","12","20","35","16","27","0","12","92","125","0","12","92","125","546","486","251","252","0","12","0","12","0","12","0","12","0","12","295","424","67","96","228","328","1500000US490351131102","Block Group 2, Census Tract 1131.10, Salt Lake County, Utah"
"2955","1054","2867","1066","2737","1135","0","12","0","12","130","293","0","12","0","12","0","12","0","12","0","12","88","117","88","117","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351131111","Block Group 1, Census Tract 1131.11, Salt Lake County, Utah"
"1440","1090","1179","988","1179","988","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","261","353","261","353","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351131112","Block Group 2, Census Tract 1131.11, Salt Lake County, Utah"
"874","588","874","588","874","588","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351131121","Block Group 1, Census Tract 1131.12, Salt Lake County, Utah"
"3283","1453","2510","763","2510","763","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","773","1039","42","79","0","12","0","12","0","12","0","12","0","12","731","1039","731","1039","0","12","1500000US490351131122","Block Group 2, Census Tract 1131.12, Salt Lake County, Utah"
"2703","657","2703","657","2649","672","0","12","0","12","6","11","48","104","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US490351131131","Block Group 1, Census Tract 1131.13, Salt Lake County, Utah"
"4999","1379","4681","1352","4432","1305","0","12","32","54","72","77","4","456","0","12","141","399","0","12","141","399","318","365","159","245","0","12","0","12","0","12","0","12","0","12","159","259","159","259","0","12","1500000US490351131132","Block Group 2, Census Tract 1131.13, Salt Lake County, Utah"
"3761","1447","3660","1508","3215","1278","0","12","0","12","130","166","0","12","0","12","315","356","0","12","315","356","101","169","0","12","0","12","0","12","0","12","0","12","0","12","101","169","0","12","101","169","1500000US490351131141","Block Group 1, Census Tract 1131.14, Salt Lake County, Utah"
"4710","1283","3665","951","2604","825","711","730","121","175","47","77","0","12","0","12","182","201","0","12","182","201","1045","527","426","35","18","30","0","12","0","12","0","12","412","363","189","357","189","357","0","12","1500000US490351131142","Block Group 2, Census Tract 1131.14, Salt Lake County, Utah"
"1157","307","503","179","280","109","0","12","7","12","142","167","0","12","0","12","74","114","0","12","74","114","654","255","190","200","0","12","0","12","0","12","0","12","448","265","16","25","16","25","0","12","1500000US490351133071","Block Group 1, Census Tract 1133.07, Salt Lake County, Utah"
"1790","486","890","407","757","369","78","134","0","12","33","50","0","12","0","12","22","25","12","20","10","15","900","316","92","98","0","12","0","12","0","12","0","12","746","333","62","76","62","76","0","12","1500000US490351133072","Block Group 2, Census Tract 1133.07, Salt Lake County, Utah"
"1939","531","677","256","431","130","0","12","0","12","237","238","0","12","0","12","9","18","0","12","9","18","1262","502","381","286","0","12","64","101","0","12","0","12","725","408","92","115","66","108","26","40","1500000US490351133073","Block Group 3, Census Tract 1133.07, Salt Lake County, Utah"
"1223","405","569","246","393","169","0","12","35","53","22","36","70","124","0","12","49","59","0","12","49","59","654","334","302","182","0","12","27","44","0","12","0","12","256","257","69","78","69","78","0","12","1500000US490351133074","Block Group 4, Census Tract 1133.07, Salt Lake County, Utah"
"1791","526","988","386","389","225","231","276","0","12","10","16","166","166","69","111","123","111","0","12","123","111","803","558","20","33","0","12","0","12","0","12","0","12","783","555","0","12","0","12","0","12","1500000US490351133081","Block Group 1, Census Tract 1133.08, Salt Lake County, Utah"
"1025","347","607","191","510","173","0","12","7","15","28","45","0","12","0","12","62","72","0","12","62","72","418","305","139","133","0","12","0","12","0","12","0","12","279","277","0","12","0","12","0","12","1500000US490351133082","Block Group 2, Census Tract 1133.08, Salt Lake County, Utah"
"2754","885","1400","478","1048","416","238","325","7","11","11","16","48","59","0","12","48","78","0","12","48","78","1354","779","644","491","0","12","0","12","0","12","0","12","710","654","0","12","0","12","0","12","1500000US490351133083","Block Group 3, Census Tract 1133.08, Salt Lake County, Utah"
"1759","613","914","363","630","330","36","54","96","111","59","72","0","12","66","84","27","43","0","12","27","43","845","499","455","446","0","12","0","12","0","12","0","12","390","365","0","12","0","12","0","12","1500000US490351133091","Block Group 1, Census Tract 1133.09, Salt Lake County, Utah"
"1236","341","961","301","720","266","0","12","0","12","226","134","0","12","0","12","15","26","0","12","15","26","275","147","157","122","0","12","0","12","0","12","0","12","98","78","20","21","20","21","0","12","1500000US490351133092","Block Group 2, Census Tract 1133.09, Salt Lake County, Utah"
"1880","672","1198","407","1003","343","186","258","0","12","9","16","0","12","0","12","0","12","0","12","0","12","682","632","70","75","0","12","0","12","0","12","0","12","612","637","0","12","0","12","0","12","1500000US490351133093","Block Group 3, Census Tract 1133.09, Salt Lake County, Utah"
"974","372","403","183","326","143","71","103","6","12","0","12","0","12","0","12","0","12","0","12","0","12","571","393","6","9","0","12","0","12","0","12","0","12","565","392","0","12","0","12","0","12","1500000US490351133101","Block Group 1, Census Tract 1133.10, Salt Lake County, Utah"
"778","288","351","121","278","111","0","12","0","12","36","51","26","29","0","12","11","16","0","12","11","16","427","298","107","97","0","12","0","12","0","12","0","12","306","295","14","21","14","21","0","12","1500000US490351133102","Block Group 2, Census Tract 1133.10, Salt Lake County, Utah"
"1173","470","579","238","519","234","0","12","0","12","45","54","0","12","0","12","15","14","0","12","15","14","594","450","31","48","0","12","0","12","0","12","0","12","544","413","19","18","19","18","0","12","1500000US490351133103","Block Group 3, Census Tract 1133.10, Salt Lake County, Utah"
"2575","447","1020","396","583","215","216","323","72","92","102","114","0","12","0","12","47","60","16","27","31","50","1555","372","544","464","0","12","0","12","0","12","0","12","984","477","27","45","27","45","0","12","1500000US490351133111","Block Group 1, Census Tract 1133.11, Salt Lake County, Utah"
"1707","428","1261","361","725","246","21","35","29","44","353","261","109","168","0","12","24","40","0","12","24","40","446","277","191","193","0","12","0","12","0","12","0","12","202","238","53","94","0","12","53","94","1500000US490351133112","Block Group 2, Census Tract 1133.11, Salt Lake County, Utah"
"1521","370","679","313","516","295","15","21","0","12","86","117","0","12","0","12","62","91","0","12","62","91","842","345","118","138","0","12","33","53","0","12","0","12","637","263","54","64","54","64","0","12","1500000US490351133121","Block Group 1, Census Tract 1133.12, Salt Lake County, Utah"
"777","357","595","328","500","314","0","12","0","12","95","128","0","12","0","12","0","12","0","12","0","12","182","130","138","110","0","12","0","12","0","12","0","12","44","66","0","12","0","12","0","12","1500000US490351133122","Block Group 2, Census Tract 1133.12, Salt Lake County, Utah"
"1000","423","448","241","406","249","0","12","0","12","42","51","0","12","0","12","0","12","0","12","0","12","552","307","72","81","0","12","0","12","0","12","0","12","448","307","32","55","32","55","0","12","1500000US490351133123","Block Group 3, Census Tract 1133.12, Salt Lake County, Utah"
"806","308","664","281","439","258","0","12","0","12","192","125","18","122","0","12","15","27","0","12","15","27","142","109","62","76","0","12","0","12","0","12","0","12","8","13","72","65","62","63","10","16","1500000US490351133131","Block Group 1, Census Tract 1133.13, Salt Lake County, Utah"
"1962","481","882","366","525","248","74","124","0","12","64","70","204","273","15","23","0","12","0","12","0","12","1080","421","237","239","0","12","0","12","0","12","0","12","752","403","91","117","91","117","0","12","1500000US490351133132","Block Group 2, Census Tract 1133.13, Salt Lake County, Utah"
"1679","1863","1435","1680","1087","1356","115","120","0","12","0","12","204","203","0","12","29","42","0","12","29","42","244","259","119","191","0","12","0","12","0","12","0","12","125","183","0","12","0","12","0","12","1500000US490351133133","Block Group 3, Census Tract 1133.13, Salt Lake County, Utah"
"1469","497","795","281","332","218","143","181","41","62","60","86","219","194","0","12","0","12","0","12","0","12","674","423","151","131","0","12","0","12","0","12","0","12","523","525","0","12","0","12","0","12","1500000US490351133141","Block Group 1, Census Tract 1133.14, Salt Lake County, Utah"
"1073","432","556","310","125","99","208","189","94","139","20","35","44","63","0","12","65","95","0","12","65","95","517","439","288","328","0","12","0","12","0","12","0","12","229","290","0","12","0","12","0","12","1500000US490351133142","Block Group 2, Census Tract 1133.14, Salt Lake County, Utah"
"2466","558","1306","377","1259","366","11","20","0","12","0","12","0","12","0","12","36","56","0","12","36","56","1160","447","413","321","0","12","8","12","0","12","0","12","703","371","36","37","18","24","18","28","1500000US490351134061","Block Group 1, Census Tract 1134.06, Salt Lake County, Utah"
"2185","517","815","286","512","221","8","12","5","10","286","190","4","10","0","12","0","12","0","12","0","12","1370","445","171","120","0","12","0","12","0","12","0","12","1037","452","162","165","162","165","0","12","1500000US490351134062","Block Group 2, Census Tract 1134.06, Salt Lake County, Utah"
"1439","465","809","280","657","211","65","121","0","12","13","24","0","12","7","11","67","83","0","12","67","83","630","445","235","277","0","12","0","12","0","12","0","12","395","365","0","12","0","12","0","12","1500000US490351134063","Block Group 3, Census Tract 1134.06, Salt Lake County, Utah"
"2369","470","1369","304","1261","283","25","40","75","102","0","12","0","12","0","12","8","12","0","12","8","12","1000","335","99","106","0","12","0","12","0","12","0","12","873","342","28","47","28","47","0","12","1500000US490351134081","Block Group 1, Census Tract 1134.08, Salt Lake County, Utah"
"1422","514","750","205","739","204","0","12","0","12","11","18","0","12","0","12","0","12","0","12","0","12","672","405","322","265","0","12","0","12","0","12","0","12","60","97","290","312","258","282","32","50","1500000US490351134082","Block Group 2, Census Tract 1134.08, Salt Lake County, Utah"
"2407","666","1708","391","1351","416","51","63","37","59","69","61","188","191","0","12","12","24","0","12","12","24","699","574","84","99","0","12","0","12","0","12","0","12","593","545","22","28","22","28","0","12","1500000US490351134083","Block Group 3, Census Tract 1134.08, Salt Lake County, Utah"
"1302","379","766","210","578","180","11","19","0","12","74","103","82","119","0","12","21","26","10","16","11","20","536","310","117","132","0","12","90","143","0","12","0","12","294","259","35","39","35","39","0","12","1500000US490351134091","Block Group 1, Census Tract 1134.09, Salt Lake County, Utah"
"1999","537","1493","473","1354","461","37","47","0","12","0","12","84","138","0","12","18","27","0","12","18","27","506","294","75","76","0","12","0","12","0","12","0","12","125","82","306","223","306","223","0","12","1500000US490351134092","Block Group 2, Census Tract 1134.09, Salt Lake County, Utah"
"1922","901","1471","861","1298","861","30","44","0","12","0","12","77","80","0","12","66","90","0","12","66","90","451","266","29","32","0","12","19","31","0","12","0","12","310","263","93","105","93","105","0","12","1500000US490351134093","Block Group 3, Census Tract 1134.09, Salt Lake County, Utah"
"2942","593","1840","506","1625","488","23","34","0","12","60","120","101","107","0","12","31","50","0","12","31","50","1102","386","201","197","0","12","52","84","0","12","0","12","849","420","0","12","0","12","0","12","1500000US490351134101","Block Group 1, Census Tract 1134.10, Salt Lake County, Utah"
"1237","466","917","384","404","145","210","323","0","12","51","50","33","30","49","83","170","129","0","12","170","129","320","296","70","56","0","12","0","12","0","12","0","12","243","293","7","11","7","11","0","12","1500000US490351134102","Block Group 2, Census Tract 1134.10, Salt Lake County, Utah"
"1221","488","828","253","638","207","0","12","0","12","90","100","79","133","0","12","21","23","0","12","21","23","393","488","86","103","0","12","0","12","0","12","0","12","307","483","0","12","0","12","0","12","1500000US490351134103","Block Group 3, Census Tract 1134.10, Salt Lake County, Utah"
"940","348","721","196","603","190","73","100","0","12","26","31","0","12","0","12","19","30","3","6","16","29","219","248","166","240","0","12","0","12","0","12","0","12","44","59","9","17","9","17","0","12","1500000US490351134104","Block Group 4, Census Tract 1134.10, Salt Lake County, Utah"
"1646","501","1413","448","403","146","0","12","0","12","470","82","441","381","0","12","99","90","5","9","94","89","233","151","125","88","0","12","0","12","0","12","0","12","98","125","10","17","0","12","10","17","1500000US490351134111","Block Group 1, Census Tract 1134.11, Salt Lake County, Utah"
"1360","320","994","251","907","219","0","12","0","12","7","10","48","56","0","12","32","36","0","12","32","36","366","200","38","31","8","12","0","12","0","12","0","12","124","61","196","162","196","162","0","12","1500000US490351134112","Block Group 2, Census Tract 1134.11, Salt Lake County, Utah"
"1080","308","876","293","383","129","0","12","0","12","488","290","3","5","0","12","2","5","0","12","2","5","204","160","90","88","0","12","0","12","0","12","0","12","96","112","18","37","7","13","11","35","1500000US490351134121","Block Group 1, Census Tract 1134.12, Salt Lake County, Utah"
"1655","266","1048","215","694","155","0","12","9","15","104","96","184","169","16","25","41","52","3","10","38","49","607","198","237","199","0","12","0","12","2","5","0","12","368","188","0","12","0","12","0","12","1500000US490351134122","Block Group 2, Census Tract 1134.12, Salt Lake County, Utah"
"2457","623","1870","453","1760","440","0","12","0","12","13","21","49","71","0","12","48","52","0","12","48","52","587","493","189","214","0","12","0","12","0","12","0","12","398","417","0","12","0","12","0","12","1500000US490351134131","Block Group 1, Census Tract 1134.13, Salt Lake County, Utah"
"1686","793","1513","791","1290","783","98","146","0","12","41","46","0","12","0","12","84","131","0","12","84","131","173","185","58","48","0","12","0","12","0","12","0","12","115","176","0","12","0","12","0","12","1500000US490351134132","Block Group 2, Census Tract 1134.13, Salt Lake County, Utah"
"1742","394","1331","342","1140","307","122","166","0","12","15","18","0","12","0","12","54","58","0","12","54","58","411","281","53","45","0","12","0","12","0","12","0","12","358","281","0","12","0","12","0","12","1500000US490351134133","Block Group 3, Census Tract 1134.13, Salt Lake County, Utah"
"1805","720","927","300","677","297","84","118","0","12","166","124","0","12","0","12","0","12","0","12","0","12","878","647","0","12","0","12","0","12","0","12","0","12","862","648","16","26","16","26","0","12","1500000US490351134141","Block Group 1, Census Tract 1134.14, Salt Lake County, Utah"
"637","420","357","232","327","227","11","18","0","12","0","12","0","12","0","12","19","37","0","12","19","37","280","342","102","157","0","12","0","12","0","12","0","12","178","291","0","12","0","12","0","12","1500000US490351134142","Block Group 2, Census Tract 1134.14, Salt Lake County, Utah"
"1178","343","1150","337","942","361","49","69","0","12","94","90","0","12","0","12","65","82","0","12","65","82","28","48","0","12","0","12","0","12","0","12","0","12","0","12","28","48","0","12","28","48","1500000US490351134143","Block Group 3, Census Tract 1134.14, Salt Lake County, Utah"
"3618","2873","819","304","819","304","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","2799","2880","14","24","0","12","0","12","0","12","0","12","2670","2881","115","192","115","192","0","12","1500000US490351134144","Block Group 4, Census Tract 1134.14, Salt Lake County, Utah"
